siteCode,siteName,type,terrain,domainCode,stateCode,latitude,longitude
HARV,"Harvard Forest & Quabbin Watershed NEON",CORE,TERRESTRIAL,D01,MA,42.53691,-72.17265
BART,"Bartlett Experimental Forest NEON",GRADIENT,TERRESTRIAL,D01,NH,44.06389,-71.28737
HOPB,"Lower Hop Brook NEON",CORE,AQUATIC,D01,MA,42.47194,-72.32953
SCBI,"Smithsonian Conservation Biology Institute NEON",CORE,TERRESTRIAL,D02,VA,38.89292,-78.13949
BLAN,"Blandy Experimental Farm NEON",GRADIENT,TERRESTRIAL,D02,VA,39.03370,-78.04179
SERC,"Smithsonian Environmental Research Center NEON",GRADIENT,TERRESTRIAL,D02,MD,38.89013,-76.56001
POSE,"Posey Creek NEON",CORE,AQUATIC,D02,VA,38.89431,-78.14726
LEWI,"Lewis Run NEON",GRADIENT,AQUATIC,D02,VA,39.09564,-77.98322
OSBS,"Ordway-Swisher Biological Station NEON",CORE,TERRESTRIAL,D03,FL,29.68928,-81.99343
DSNY,"Disney Wilderness Preserve NEON",GRADIENT,TERRESTRIAL,D03,FL,28.12505,-81.43619
JERC,"The Jones Center At Ichauway NEON",GRADIENT,TERRESTRIAL,D03,GA,31.19484,-84.46862
BARC,"Lake Barco NEON",CORE,AQUATIC,D03,FL,29.67598,-82.00841
SUGG,"Lake Suggs NEON",CORE,AQUATIC,D03,FL,29.68778,-82.01775
FLNT,"Flint River NEON",GRADIENT,AQUATIC,D03,GA,31.18542,-84.43740
GUAN,"Guanica Forest NEON",CORE,TERRESTRIAL,D04,PR,17.96955,-66.86870
LAJA,"Lajas Experimental Station NEON",GRADIENT,TERRESTRIAL,D04,PR,18.02126,-67.07689
CUPE,"Rio Cupeyes NEON",CORE,AQUATIC,D04,PR,18.11352,-66.98676
GUIL,"Rio Yahuecas NEON",GRADIENT,AQUATIC,D04,PR,18.17406,-66.79868
UNDE,"University of Notre Dame Environmental Research Center NEON",CORE,TERRESTRIAL,D05,MI,46.23391,-89.53725
STEI,"Steigerwaldt-Chequamegon NEON",GRADIENT,TERRESTRIAL,D05,WI,45.50894,-89.58637
TREE,"Treehaven NEON",GRADIENT,TERRESTRIAL,D05,WI,45.49369,-89.58571
CRAM,"Crampton Lake NEON",CORE,AQUATIC,D05,WI,46.20967,-89.47369
LIRO,"Little Rock Lake NEON",GRADIENT,AQUATIC,D05,WI,45.99827,-89.70477
KONZ,"Konza Prairie Biological Station NEON",CORE,TERRESTRIAL,D06,KS,39.10077,-96.56307
KONA,"Konza Prairie Agroecosystem NEON",GRADIENT,TERRESTRIAL,D06,KS,39.11045,-96.61293
UKFS,"KU Field Station NEON",GRADIENT,TERRESTRIAL,D06,KS,39.04043,-95.19215
KING,"Kings Creek NEON",CORE,AQUATIC,D06,KS,39.10506,-96.60383
MCDI,"McDiffett Creek NEON",GRADIENT,AQUATIC,D06,KS,38.94586,-96.44302
ORNL,"Oak Ridge NEON",CORE,TERRESTRIAL,D07,TN,35.96413,-84.28259
GRSM,"Great Smoky Mountains National Park NEON",GRADIENT,TERRESTRIAL,D07,TN,35.68896,-83.50195
MLBS,"Mountain Lake Biological Station NEON",GRADIENT,TERRESTRIAL,D07,VA,37.37831,-80.52485
WALK,"Walker Branch NEON",CORE,AQUATIC,D07,TN,35.95738,-84.27925
LECO,"LeConte Creek NEON",GRADIENT,AQUATIC,D07,TN,35.69043,-83.50379
TALL,"Talladega National Forest NEON",CORE,TERRESTRIAL,D08,AL,32.95047,-87.39326
DELA,"Dead Lake NEON",GRADIENT,TERRESTRIAL,D08,AL,32.54173,-87.80388
LENO,"Lenoir Landing NEON",GRADIENT,TERRESTRIAL,D08,AL,31.85386,-88.16118
MAYF,"Mayfield Creek NEON",CORE,AQUATIC,D08,AL,32.96037,-87.40769
BLWA,"Black Warrior River NEON",GRADIENT,AQUATIC,D08,AL,32.54153,-87.79815
TOMB,"Lower Tombigbee River NEON",GRADIENT,AQUATIC,D08,AL,31.85343,-88.15887
WOOD,"Chase Lake National Wildlife Refuge NEON",CORE,TERRESTRIAL,D09,ND,47.12820,-99.24133
DCFS,"Dakota Coteau Field  NEON",GRADIENT,TERRESTRIAL,D09,ND,47.16165,-99.10656
NOGP,"Northern Great Plains Research Laboratory NEON",GRADIENT,TERRESTRIAL,D09,ND,46.76972,-100.91535
PRPO,"Prairie Pothole NEON",CORE,AQUATIC,D09,ND,47.12984,-99.25315
PRLA,"Prairie Lake NEON",GRADIENT,AQUATIC,D09,ND,47.15909,-99.11388
CPER,"Central Plains Experimental Range NEON",CORE,TERRESTRIAL,D10,CO,40.81554,-104.74559
RMNP,"Rocky Mountains NEON",GRADIENT,TERRESTRIAL,D10,CO,40.27590,-105.54596
STER,"North Sterling NEON",GRADIENT,TERRESTRIAL,D10,CO,40.46189,-103.02929
ARIK,"Arikaree River NEON",CORE,AQUATIC,D10,CO,39.75821,-102.44715
CLBJ,"Lyndon B. Johnson National Grassland NEON",CORE,TERRESTRIAL,D11,TX,33.40123,-97.57000
OAES,"Marvin Klemme Range Research Station NEON",GRADIENT,TERRESTRIAL,D11,OK,35.41060,-99.05878
PRIN,"Pringle Creek NEON",CORE,AQUATIC,D11,TX,33.37852,-97.78231
BLUE,"Blue River NEON",GRADIENT,AQUATIC,D11,OK,34.44422,-96.62420
YELL,"Yellowstone National Park NEON",CORE,TERRESTRIAL,D12,WY,44.95348,-110.53914
BLDE,"Blacktail Deer Creek NEON",CORE,AQUATIC,D12,WY,44.95011,-110.58715
NIWO,"Niwot Ridge NEON",CORE,TERRESTRIAL,D13,CO,40.05425,-105.58237
MOAB,"Moab NEON",GRADIENT,TERRESTRIAL,D13,UT,38.24828,-109.38827
COMO,"Como Creek NEON",CORE,AQUATIC,D13,CO,40.03496,-105.54416
WLOU,"West St Louis Creek NEON",GRADIENT,AQUATIC,D13,CO,39.89137,-105.91540
SRER,"Santa Rita Experimental Range NEON",CORE,TERRESTRIAL,D14,AZ,31.91068,-110.83549
JORN,"Jornada Experimental Range NEON",GRADIENT,TERRESTRIAL,D14,NM,32.59069,-106.84254
SYCA,"Sycamore Creek NEON",CORE,AQUATIC,D14,AZ,33.75099,-111.50809
ONAQ,"Onaqui NEON",CORE,TERRESTRIAL,D15,UT,40.17760,-112.45245
REDB,"Red Butte Creek NEON",CORE,AQUATIC,D15,UT,40.78393,-111.79789
WREF,"Wind River Experimental Forest NEON",CORE,TERRESTRIAL,D16,WA,45.82049,-121.95191
ABBY,"Abby Road NEON",GRADIENT,TERRESTRIAL,D16,WA,45.76244,-122.33032
MART,"Martha Creek NEON",CORE,AQUATIC,D16,WA,45.79084,-121.93379
MCRA,"McRae Creek NEON",GRADIENT,AQUATIC,D16,OR,44.25960,-122.16555
SJER,"San Joaquin Experimental Range NEON",CORE,TERRESTRIAL,D17,CA,37.10878,-119.73228
SOAP,"Soaproot Saddle NEON",GRADIENT,TERRESTRIAL,D17,CA,37.03337,-119.26219
TEAK,"Lower Teakettle NEON",GRADIENT,TERRESTRIAL,D17,CA,37.00583,-119.00602
TECR,"Teakettle Creek - Watershed 2 NEON",CORE,AQUATIC,D17,CA,36.95593,-119.02736
BIGC,"Upper Big Creek NEON",GRADIENT,AQUATIC,D17,CA,37.05972,-119.25755
TOOL,"Toolik Field Station NEON",CORE,TERRESTRIAL,D18,AK,68.66109,-149.37047
BARR,"Utqiaġvik NEON",GRADIENT,TERRESTRIAL,D18,AK,71.28241,-156.61936
OKSR,"Oksrukuyik Creek NEON",CORE,AQUATIC,D18,AK,68.66975,-149.14302
TOOK,"Toolik Lake NEON",GRADIENT,AQUATIC,D18,AK,68.63069,-149.61064
BONA,"Caribou-Poker Creeks Research Watershed NEON",CORE,TERRESTRIAL,D19,AK,65.15401,-147.50258
DEJU,"Delta Junction NEON",GRADIENT,TERRESTRIAL,D19,AK,63.88112,-145.75136
HEAL,"Healy NEON",GRADIENT,TERRESTRIAL,D19,AK,63.87580,-149.21335
CARI,"Caribou Creek NEON",CORE,AQUATIC,D19,AK,65.15322,-147.50397
PUUM,"Puu Makaala Natural Area Reserve NEON",CORE,TERRESTRIAL,D20,HI,19.55309,-155.31731
